WKT;HRB_Number
"POINT (-117.162460603665636 32.738893540529332)";    389.00000000000
"POINT (-117.26146935540244 32.851591672466519)";    390.00000000000
"POINT (-117.218686239816748 32.940205098853305)";    391.00000000000
"POINT (-117.132668309538857 32.722580465033971)";    392.00000000000
"POINT (-117.095669473672032 32.778423389195154)";    393.00000000000
"POINT (-117.106113802278543 32.771356747222512)";    394.00000000000
"POINT (-117.132678127819233 32.721914524364749)";    395.00000000000
"POINT (-117.248498182408568 32.872501361478037)";    396.00000000000
"POINT (-117.24219934821069 32.751308268483385)";    398.00000000000
"POINT (-117.162394999620943 32.729730827068146)";    194.00000000000
"POINT (-117.134581435862358 32.7092522672733)";    195.00000000000
"POINT (-117.143744363629978 32.718203345314166)";    196.00000000000
"POINT (-117.14456422928923 32.716024559435645)";    197.00000000000
"POINT (-117.162723230871521 32.72971190878647)";    198.00000000000
"POINT (-117.167288369163998 32.738429295070105)";    200.00000000000
"POINT (-117.144325647119416 32.717020052564123)";    201.00000000000
"POINT (-117.127784977035134 32.72145401018588)";    202.00000000000
"POINT (-117.172030346365474 32.722155843193356)";    203.00000000000
"POINT (-117.164530726859937 32.728958144142993)";    199.00000000000
"POINT (-117.274088619677585 32.848946600680058)";    204.00000000000
"POINT (-117.182605592693974 32.748719348384512)";    859.00000000000
"POINT (-117.173898715711218 32.753197515425171)";    860.00000000000
"POINT (-117.215141783212744 32.741612916355287)";    861.00000000000
"POINT (-117.143722268607789 32.715343022618733)";    862.00000000000
"POINT (-117.222207059349586 32.744106357464233)";    863.00000000000
"POINT (-117.179314389575808 32.755375674859074)";    864.00000000000
"POINT (-117.143486164807541 32.71658671304067)";    205.00000000000
"POINT (-117.166945341122656 32.73368244737641)";    206.00000000000
"POINT (-117.160455860934604 32.716507976509618)";    209.00000000000
"POINT (-117.162352852653044 32.725309115549152)";    210.00000000000
"POINT (-117.277857467161454 32.846857885889108)";    212.00000000000
"POINT (-117.277952077578533 32.846730645393301)";    213.00000000000
"POINT (-117.143386965460522 32.714149849136014)";    214.00000000000
"POINT (-117.159896750560051 32.71917127531357)";    215.00000000000
"POINT (-117.143708763508911 32.713876790567632)";    216.00000000000
"POINT (-117.137825414258458 32.712521658521673)";    218.00000000000
"POINT (-117.137826623207729 32.712261254786945)";    220.00000000000
"POINT (-117.135169470664607 32.70958199074736)";    221.00000000000
"POINT (-117.134931814360414 32.70766790215842)";    222.00000000000
"POINT (-117.139086863989519 32.693420302156206)";    223.00000000000
"POINT (-117.160450980536467 32.715933656290112)";    224.00000000000
"POINT (-117.279527298695172 32.834573292800627)";    226.00000000000
"POINT (-117.162466640395309 32.73992385747195)";    227.00000000000
"POINT (-117.274302432778697 32.846888690661245)";    228.00000000000
"POINT (-117.274021953285285 32.846904860895428)";    229.00000000000
"POINT (-117.274222522742775 32.847081401377579)";    230.00000000000
"POINT (-117.06551392741568 33.066564328138689)";    231.00000000000
"POINT (-117.235774085071156 32.735822953001325)";    233.00000000000
"POINT (-117.034339519956063 32.548632776253712)";    236.00000000000
"POINT (-117.161267214755284 32.748497327691382)";    238.00000000000
"POINT (-117.130686864585599 32.748077394787344)";    239.00000000000
"POINT (-117.192406920560131 32.753797887697601)";      8.00000000000
"POINT (-117.19873021171513 32.755473388710826)";     14.00000000000
"POINT (-117.196057000856698 32.753900865209218)";     14.00000000000
"POINT (-117.196853809737775 32.75434116776627)";     14.00000000000
"POINT (-117.166440250204218 32.746346545977183)";    241.00000000000
"POINT (-117.257103177543144 32.796208757270726)";    242.00000000000
"POINT (-117.256714397840327 32.796164748886497)";    243.00000000000
"POINT (-117.13127975027767 32.748009258668439)";    245.00000000000
"POINT (-117.102978264945278 32.762872809844836)";    246.00000000000
"POINT (-117.068492822036404 32.714656678937757)";    248.00000000000
"POINT (-117.166937157434944 32.722747521236464)";    250.00000000000
"POINT (-117.252204701978684 32.797581761266201)";    252.00000000000
"POINT (-117.164989171674932 32.722808527512889)";    255.00000000000
"POINT (-117.165120075351865 32.722807556367357)";    256.00000000000
"POINT (-117.170363360733134 32.720385496789284)";    257.00000000000
"POINT (-117.16974062240422 32.728165599644761)";    258.00000000000
"POINT (-117.167342812299381 32.738910949015988)";    399.00000000000
"POINT (-117.237817303321592 32.733634868352325)";    401.00000000000
"POINT (-117.166050378827634 32.731594723108827)";    402.00000000000
"POINT (-117.151324390439484 32.712930854896861)";    403.00000000000
"POINT (-117.151652154274288 32.712928459073545)";    404.00000000000
"POINT (-117.146652841758836 32.734636922330345)";    412.00000000000
"POINT (-117.184746188281153 32.754540064843262)";    414.00000000000
"POINT (-117.120373743291466 32.763581085909443)";    415.00000000000
"POINT (-117.14038915468322 32.745160777403953)";    981.00000000000
"POINT (-117.104520862359308 32.761987057150449)";    982.00000000000
"POINT (-117.235295664818651 32.73347937396975)";    983.00000000000
"POINT (-117.170928748106903 32.78383166995954)";    984.00000000000
"POINT (-117.153916800319465 32.76114047088079)";    985.00000000000
"POINT (-117.131753615710124 32.722181731826936)";    986.00000000000
"POINT (-117.154866774452543 32.743948494692319)";    987.00000000000
"POINT (-117.179623016950643 32.747741285272937)";    988.00000000000
"POINT (-117.256018990707318 32.844661932873578)";    416.00000000000
"POINT (-117.130577252427472 32.735482537206657)";    423.00000000000
"POINT (-117.154136083076395 32.712349256141167)";    426.00000000000
"POINT (-117.136703446863891 32.751316812096121)";    989.00000000000
"POINT (-117.186163885824044 32.756701706500913)";    990.00000000000
"POINT (-117.276916827358775 32.845574302906392)";    992.00000000000
"POINT (-117.278092275986012 32.834448343862078)";   1000.00000000000
"POINT (-117.263306013835589 32.832633795069285)";   1007.00000000000
"POINT (-117.276733038727613 32.823185309972992)";    993.00000000000
"POINT (-117.108389679278375 32.767851314330265)";   1006.00000000000
"POINT (-117.106976050381661 32.767084565240268)";   1002.00000000000
"POINT (-117.178989759888054 32.753386904959889)";    994.00000000000
"POINT (-117.177410874481808 32.752476976875435)";    997.00000000000
"POINT (-117.175770365056408 32.750640490202365)";   1005.00000000000
"POINT (-117.175540174439902 32.743094863225799)";    998.00000000000
"POINT (-117.16612428683851 32.740188552576114)";    995.00000000000
"POINT (-117.162781779878415 32.73902643131094)";    999.00000000000
"POINT (-117.13596776123471 32.74409536179769)";    996.00000000000
"POINT (-117.099955311659258 32.763794241723225)";   1003.00000000000
"POINT (-117.162369418688769 32.726754957242719)";    991.00000000000
"POINT (-117.131423791676468 32.724010394636025)";   1004.00000000000
"POINT (-117.12778830424692 32.720953669209429)";   1001.00000000000
"POINT (-117.241078176736295 32.710182027632897)";   1009.00000000000
"POINT (-117.13281116352907 32.735340732918175)";   1010.00000000000
"POINT (-117.186263793580693 32.750148032206944)";   1011.00000000000
"POINT (-117.133279801205845 32.735240498493738)";   1012.00000000000
"POINT (-117.274638210005463 32.83792588554136)";   1013.00000000000
"POINT (-117.187920556086993 32.750734140990453)";   1014.00000000000
"POINT (-117.150409046905395 32.744151711391368)";   1015.00000000000
"POINT (-117.140793733077999 32.764482165495835)";   1016.00000000000
